Total seleccionados:    1,968
En estado terminal:     5
Por descargar/reintentar: 1,963 (modo: reintenta error/download_failed)

[1/1963] TIC 427348923 (label=0) ... WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
error | 0/2 sec | 0.0 MB | 1.6 s
[144/1963] TIC 402898317 (label=1) ... ok | 3/32 sec | 5.5 MB | 7.2 s
[145/1963] TIC 137906197 (label=1) ... ok | 3/4 sec | 6.0 MB | 8.3 s
[146/1963] TIC 417931607 (label=1) ... ok | 3/7 sec | 5.9 MB | 8.2 s
[147/1963] TIC 305506996 (label=1) ... ok | 1/1 sec | 1.9 MB | 3.7 s
[148/1963] TIC 67512645 (label=1) ... ok | 1/1 sec | 1.9 MB | 3.0 s
[149/1963] TIC 219015370 (label=1) ... ok | 3/9 sec | 6.0 MB | 7.5 s
[150/1963] TIC 220435095 (label=0) ... ok | 3/28 sec | 5.7 MB | 7.8 s
[151/1963] TIC 290131778 (label=1) ... ok | 3/5 sec | 5.9 MB | 7.5 s
[152/1963] TIC 409520860 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.4 s
[153/1963] TIC 73723286 (label=0) ... ok | 3/5 sec | 5.8 MB | 8.3 s
[154/1963] TIC 103245940 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.0 s
[155/1963] TIC 242460075 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.4 s
[156/1963] TIC 1100766816 (label=0) ... Warning: 34% (5735/16999) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 1/1 sec | 0.0 MB | 6.2 s
[157/1963] TIC 243153196 (label=0) ... ok | 2/2 sec | 4.0 MB | 5.4 s
[158/1963] TIC 209464063 (label=1) ... ok | 3/4 sec | 5.8 MB | 7.5 s
[159/1963] TIC 407966340 (label=1) ... ok | 3/6 sec | 5.6 MB | 8.1 s
[160/1963] TIC 50309953 (label=0) ... ok | 3/5 sec | 6.0 MB | 7.5 s
[161/1963] TIC 305478010 (label=0) ... ok | 1/1 sec | 1.8 MB | 2.9 s
[162/1963] TIC 384888319 (label=1) ... ok | 3/3 sec | 5.5 MB | 7.5 s
[163/1963] TIC 374908020 (label=0) ... no_data | 0/0 sec | 0.0 MB | 28.4 s
[164/1963] TIC 369327947 (label=1) ... ok | 3/9 sec | 5.9 MB | 9.2 s
