Total seleccionados:    1,968
En estado terminal:     5
Por descargar/reintentar: 1,963 (modo: reintenta error/download_failed)

[1/1963] TIC 427348923 (label=0) ... WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
error | 0/2 sec | 0.0 MB | 1.6 s
[809/1963] TIC 452006073 (label=1) ... ok | 3/4 sec | 6.0 MB | 8.4 s
[810/1963] TIC 298666530 (label=0) ... ok | 3/36 sec | 5.4 MB | 9.3 s
[811/1963] TIC 41330864 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.8 s
[812/1963] TIC 262530873 (label=0) ... ok | 2/2 sec | 3.8 MB | 6.9 s
[813/1963] TIC 336267424 (label=0) ... ok | 3/9 sec | 5.8 MB | 10.1 s
[814/1963] TIC 158588995 (label=1) ... ok | 3/7 sec | 5.6 MB | 8.5 s
[815/1963] TIC 141663460 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.3 s
[816/1963] TIC 335590096 (label=1) ... ok | 3/3 sec | 6.0 MB | 8.1 s
[817/1963] TIC 153078576 (label=1) ... ok | 3/3 sec | 7.8 MB | 9.2 s
[818/1963] TIC 52005579 (label=1) ... ok | 3/5 sec | 5.8 MB | 8.3 s
[819/1963] TIC 382474101 (label=0) ... ok | 2/2 sec | 3.9 MB | 6.0 s
[820/1963] TIC 418987806 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.2 s
[821/1963] TIC 115564354 (label=0) ... ok | 3/4 sec | 5.7 MB | 9.6 s
[822/1963] TIC 27649847 (label=1) ... ok | 3/7 sec | 5.4 MB | 8.1 s
[823/1963] TIC 373424049 (label=0) ... ok | 3/4 sec | 5.6 MB | 8.2 s
[824/1963] TIC 233684822 (label=0) ... ok | 3/33 sec | 5.7 MB | 10.6 s
[825/1963] TIC 40954422 (label=0) ... ok | 3/4 sec | 5.9 MB | 8.7 s
[826/1963] TIC 117979694 (label=0) ... ok | 2/2 sec | 3.8 MB | 7.5 s
[827/1963] TIC 420288086 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.8 s
[828/1963] TIC 131419878 (label=0) ... ok | 3/5 sec | 5.5 MB | 8.4 s
[829/1963] TIC 258777134 (label=0) ... ok | 3/40 sec | 0.0 MB | 26.6 s
[830/1963] TIC 167031605 (label=0) ... ok | 1/1 sec | 1.9 MB | 5.2 s
[831/1963] TIC 415741431 (label=0) ... ok | 2/2 sec | 4.2 MB | 6.0 s
[832/1963] TIC 440887364 (label=1) ... ok | 3/3 sec | 5.9 MB | 1.8 s
[833/1963] TIC 305943739 (label=0) ... ok | 2/2 sec | 4.0 MB | 6.4 s
[834/1963] TIC 124379043 (label=1) ... ok | 1/1 sec | 2.0 MB | 3.6 s
[835/1963] TIC 288471040 (label=0) ... ok | 3/26 sec | 6.0 MB | 8.9 s
[836/1963] TIC 48276576 (label=0) ... ok | 3/3 sec | 6.0 MB | 8.1 s
[837/1963] TIC 106114491 (label=0) ... ok | 3/4 sec | 5.9 MB | 8.4 s
[838/1963] TIC 150151262 (label=1) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/30 sec | 5.5 MB | 1.8 s
[839/1963] TIC 250111245 (label=1) ... ok | 2/2 sec | 3.8 MB | 6.4 s
[840/1963] TIC 396133015 (label=1) ... ok | 3/3 sec | 5.8 MB | 9.0 s
[841/1963] TIC 304042899 (label=0) ... ok | 3/3 sec | 5.8 MB | 8.4 s
[842/1963] TIC 382602147 (label=1) ... ok | 3/6 sec | 5.8 MB | 8.3 s
[843/1963] TIC 229400092 (label=1) ... ok | 3/30 sec | 5.8 MB | 8.8 s
[844/1963] TIC 219016883 (label=1) ... ok | 3/3 sec | 6.0 MB | 8.3 s
[845/1963] TIC 257605131 (label=1) ... ok | 3/3 sec | 5.7 MB | 1.6 s
[846/1963] TIC 240613164 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.2 s
[847/1963] TIC 387834907 (label=0) ... ok | 3/16 sec | 5.4 MB | 9.2 s
[848/1963] TIC 166190643 (label=0) ... ok | 3/4 sec | 5.9 MB | 8.1 s
[849/1963] TIC 36724087 (label=1) ... ok | 3/5 sec | 5.6 MB | 8.0 s
[850/1963] TIC 356235833 (label=0) ... Warning: 24% (4065/16779) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/3 sec | 5.5 MB | 8.0 s
[851/1963] TIC 335630746 (label=1) ... ok | 3/3 sec | 5.8 MB | 9.0 s
[852/1963] TIC 118301361 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.3 s
[853/1963] TIC 159334269 (label=0) ... ok | 3/3 sec | 5.7 MB | 8.0 s
[854/1963] TIC 328934463 (label=1) ... Warning: 21% (3797/18126) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 1/1 sec | 1.9 MB | 3.8 s
[855/1963] TIC 202428245 (label=0) ... ok | 3/3 sec | 6.0 MB | 7.8 s
[856/1963] TIC 441420236 (label=1) ... ok | 3/3 sec | 5.7 MB | 8.1 s
[857/1963] TIC 155867025 (label=1) ... ok | 2/2 sec | 3.9 MB | 6.2 s
[858/1963] TIC 78672342 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.4 s
[859/1963] TIC 232540264 (label=1) ... ok | 3/18 sec | 5.7 MB | 12.7 s
[860/1963] TIC 425163745 (label=0) ... no_data | 0/0 sec | 0.0 MB | 1.8 s
[861/1963] TIC 447283466 (label=0) ... ok | 3/6 sec | 5.6 MB | 8.9 s
[862/1963] TIC 26547036 (label=1) ... ok | 3/13 sec | 5.7 MB | 10.4 s
[863/1963] TIC 11996814 (label=0) ... ok | 3/4 sec | 5.6 MB | 10.1 s
[864/1963] TIC 443556801 (label=1) ... no_data | 0/0 sec | 0.0 MB | 2.3 s
[865/1963] TIC 458856474 (label=0) ... ok | 3/6 sec | 5.6 MB | 9.0 s
[866/1963] TIC 33878688 (label=0) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/33 sec | 6.0 MB | 14.9 s
[867/1963] TIC 428679607 (label=1) ... ok | 3/11 sec | 5.6 MB | 9.9 s
[868/1963] TIC 241174783 (label=0) ... ok | 2/2 sec | 3.9 MB | 8.4 s
[869/1963] TIC 266688542 (label=0) ... ok | 3/4 sec | 5.9 MB | 13.5 s
[870/1963] TIC 435861696 (label=0) ... ok | 1/1 sec | 2.1 MB | 4.7 s
[871/1963] TIC 313761775 (label=0) ... no_data | 0/0 sec | 0.0 MB | 7.3 s
[872/1963] TIC 352924930 (label=0) ... ok | 3/3 sec | 5.1 MB | 10.2 s
[873/1963] TIC 42755801 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.1 s
[874/1963] TIC 182470056 (label=0) ... ok | 2/2 sec | 3.7 MB | 7.5 s
[875/1963] TIC 77156829 (label=1) ... ok | 3/5 sec | 5.7 MB | 1.9 s
[876/1963] TIC 335489455 (label=0) ... ok | 2/2 sec | 3.2 MB | 6.5 s
[877/1963] TIC 359496368 (label=0) ... ok | 3/25 sec | 5.7 MB | 9.0 s
[878/1963] TIC 445859771 (label=1) ... ok | 3/7 sec | 5.8 MB | 8.6 s
[879/1963] TIC 319735319 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.8 s
[880/1963] TIC 318022259 (label=1) ... ok | 3/3 sec | 5.8 MB | 1.4 s
[881/1963] TIC 198241702 (label=1) ... ok | 3/42 sec | 5.7 MB | 8.4 s
[882/1963] TIC 219852584 (label=1) ... ok | 3/32 sec | 5.8 MB | 8.5 s
[883/1963] TIC 94986319 (label=1) ... ok | 3/4 sec | 5.4 MB | 8.6 s
[884/1963] TIC 459997997 (label=0) ... ok | 3/3 sec | 5.7 MB | 9.1 s
[885/1963] TIC 149601557 (label=0) ... ok | 3/11 sec | 5.6 MB | 9.0 s
[886/1963] TIC 275501623 (label=0) ... ok | 2/2 sec | 4.1 MB | 6.9 s
[887/1963] TIC 444415148 (label=0) ... ok | 1/1 sec | 1.3 MB | 5.4 s
[888/1963] TIC 383390264 (label=1) ... ok | 3/8 sec | 5.9 MB | 10.5 s
[889/1963] TIC 371673488 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.7 s
[890/1963] TIC 307958020 (label=1) ... ok | 3/39 sec | 5.7 MB | 8.3 s
[891/1963] TIC 274122380 (label=0) ... ok | 3/4 sec | 5.9 MB | 10.9 s
[892/1963] TIC 127315102 (label=0) ... ok | 2/2 sec | 3.9 MB | 5.1 s
[893/1963] TIC 101037590 (label=1) ... ok | 1/1 sec | 2.0 MB | 3.3 s
[894/1963] TIC 313506357 (label=0) ... ok | 2/2 sec | 3.9 MB | 6.3 s
[895/1963] TIC 90504905 (label=0) ... ok | 3/4 sec | 5.9 MB | 7.5 s
[896/1963] TIC 303432813 (label=1) ... ok | 2/2 sec | 3.8 MB | 4.9 s
[897/1963] TIC 408310006 (label=1) ... ok | 3/5 sec | 5.5 MB | 7.4 s
[898/1963] TIC 344224831 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.0 s
[899/1963] TIC 212253390 (label=1) ... ok | 3/4 sec | 5.8 MB | 8.6 s
[900/1963] TIC 271900960 (label=0) ... Warning: 30% (5881/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/34 sec | 6.0 MB | 7.6 s
[901/1963] TIC 249067445 (label=0) ... ok | 1/1 sec | 1.9 MB | 5.0 s
[902/1963] TIC 436873727 (label=1) ... ok | 3/8 sec | 5.5 MB | 7.6 s
[903/1963] TIC 309792357 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/42 sec | 6.0 MB | 6.3 s
[904/1963] TIC 457138169 (label=0) ... ok | 2/2 sec | 4.0 MB | 6.3 s
[905/1963] TIC 274138511 (label=0) ... ok | 2/2 sec | 3.6 MB | 5.4 s
[906/1963] TIC 89643259 (label=0) ... ok | 3/6 sec | 5.9 MB | 6.2 s
[907/1963] TIC 259377017 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/7 sec | 5.8 MB | 7.5 s
[908/1963] TIC 86263325 (label=1) ... ok | 2/2 sec | 4.0 MB | 5.1 s
[909/1963] TIC 372913430 (label=0) ... ok | 3/5 sec | 5.5 MB | 6.4 s
[910/1963] TIC 317597583 (label=1) ... ok | 3/11 sec | 5.6 MB | 14.6 s
[911/1963] TIC 403136413 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.4 s
[912/1963] TIC 44737596 (label=1) ... ok | 3/3 sec | 5.7 MB | 7.2 s
[913/1963] TIC 4999813 (label=0) ... ok | 1/1 sec | 2.0 MB | 5.0 s
[914/1963] TIC 456042145 (label=0) ... ok | 2/2 sec | 3.4 MB | 5.1 s
[915/1963] TIC 45684223 (label=0) ... ok | 2/2 sec | 4.2 MB | 9.0 s
[916/1963] TIC 161687209 (label=0) ... ok | 3/4 sec | 0.0 MB | 16.9 s
[917/1963] TIC 1400212743 (label=0) ... ok | 3/5 sec | 0.0 MB | 11.8 s
[918/1963] TIC 70513361 (label=1) ... Warning: 30% (5875/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/3 sec | 8.0 MB | 7.6 s
[919/1963] TIC 289441015 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.8 s
[920/1963] TIC 329277372 (label=0) ... ok | 3/7 sec | 5.7 MB | 7.7 s
[921/1963] TIC 233503636 (label=0) ... ok | 3/25 sec | 5.6 MB | 5.9 s
[922/1963] TIC 168871868 (label=0) ... ok | 2/2 sec | 3.8 MB | 4.9 s
[923/1963] TIC 69838258 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.2 s
[924/1963] TIC 219857012 (label=1) ... ok | 3/39 sec | 5.5 MB | 15.3 s
[925/1963] TIC 229742722 (label=1) ... ok | 3/39 sec | 5.7 MB | 15.5 s
[926/1963] TIC 311890977 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.1 s
[927/1963] TIC 35315453 (label=0) ... ok | 2/2 sec | 4.0 MB | 7.7 s
[928/1963] TIC 232967440 (label=1) ... ok | 3/9 sec | 5.9 MB | 8.9 s
[929/1963] TIC 429304876 (label=1) ... ok | 3/5 sec | 5.6 MB | 10.5 s
[930/1963] TIC 146244533 (label=0) ... ok | 2/2 sec | 3.7 MB | 6.8 s
[931/1963] TIC 259151170 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.7 s
[932/1963] TIC 357538688 (label=0) ... ok | 3/3 sec | 5.8 MB | 8.6 s
[933/1963] TIC 371579161 (label=0) ... no_data | 0/0 sec | 0.0 MB | 5.5 s
[934/1963] TIC 377064495 (label=1) ... ok | 3/5 sec | 5.5 MB | 11.7 s
[935/1963] TIC 147576037 (label=0) ... ok | 3/5 sec | 6.0 MB | 8.2 s
[936/1963] TIC 35377903 (label=0) ... ok | 2/2 sec | 3.9 MB | 6.7 s
[937/1963] TIC 463681005 (label=0) ... ok | 3/3 sec | 6.0 MB | 8.4 s
[938/1963] TIC 142748283 (label=1) ... ok | 3/8 sec | 5.9 MB | 1.4 s
[939/1963] TIC 58046864 (label=0) ... ok | 2/2 sec | 4.0 MB | 9.3 s
[940/1963] TIC 181804752 (label=1) ... ok | 3/5 sec | 5.6 MB | 1.4 s
[941/1963] TIC 199376584 (label=1) ... ok | 3/7 sec | 5.8 MB | 8.7 s
[942/1963] TIC 399870368 (label=1) ... ok | 2/2 sec | 6.1 MB | 7.3 s
[943/1963] TIC 353367071 (label=0) ... ok | 3/5 sec | 5.4 MB | 8.5 s
[944/1963] TIC 115446313 (label=0) ... ok | 3/5 sec | 5.6 MB | 11.1 s
[945/1963] TIC 89020549 (label=1) ... ok | 3/4 sec | 5.9 MB | 14.4 s
[946/1963] TIC 269701147 (label=1) ... ok | 3/28 sec | 5.5 MB | 8.3 s
[947/1963] TIC 80029842 (label=0) ... ok | 2/2 sec | 4.1 MB | 7.2 s
[948/1963] TIC 458876004 (label=0) ... ok | 2/2 sec | 3.8 MB | 7.9 s
[949/1963] TIC 277128619 (label=1) ... ok | 3/6 sec | 6.0 MB | 8.5 s
[950/1963] TIC 8599009 (label=1) ... ok | 1/1 sec | 1.9 MB | 3.6 s
[951/1963] TIC 437156845 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.8 s
[952/1963] TIC 179033846 (label=0) ... no_data | 0/0 sec | 0.0 MB | 72.4 s
[953/1963] TIC 294780517 (label=0) ... ok | 3/30 sec | 5.4 MB | 9.3 s
[954/1963] TIC 51318828 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.8 s
[955/1963] TIC 122220263 (label=0) ... ok | 3/4 sec | 6.0 MB | 8.8 s
[956/1963] TIC 150030205 (label=1) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/44 sec | 6.0 MB | 9.3 s
[957/1963] TIC 241065596 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.2 s
[958/1963] TIC 139375960 (label=1) ... ok | 1/1 sec | 1.9 MB | 3.6 s
[959/1963] TIC 154459165 (label=0) ... ok | 3/3 sec | 5.8 MB | 7.6 s
[960/1963] TIC 1400770435 (label=0) ... ok | 3/12 sec | 5.7 MB | 8.0 s
[961/1963] TIC 280655495 (label=1) ... ok | 3/4 sec | 5.9 MB | 8.1 s
[962/1963] TIC 420645189 (label=0) ... ok | 3/8 sec | 5.5 MB | 7.9 s
[963/1963] TIC 220016044 (label=0) ... ok | 3/3 sec | 5.8 MB | 8.7 s
[964/1963] TIC 1449756 (label=0) ... no_data | 0/0 sec | 0.0 MB | 6.6 s
[965/1963] TIC 1717732429 (label=0) ... ok | 3/12 sec | 0.0 MB | 23.5 s
[966/1963] TIC 291147951 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.3 s
[967/1963] TIC 129432342 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.8 s
[968/1963] TIC 87044036 (label=0) ... ok | 2/2 sec | 3.8 MB | 5.7 s
[969/1963] TIC 1950736 (label=0) ... ok | 2/2 sec | 3.9 MB | 6.5 s
[970/1963] TIC 56231866 (label=0) ... ok | 2/2 sec | 3.7 MB | 18.0 s
[971/1963] TIC 394287035 (label=1) ... ok | 3/8 sec | 5.7 MB | 21.8 s
[972/1963] TIC 145982812 (label=0) ... ok | 2/2 sec | 3.7 MB | 6.5 s
[973/1963] TIC 58825110 (label=1) ... ok | 1/1 sec | 1.9 MB | 12.9 s
[974/1963] TIC 11111899 (label=0) ... ok | 3/5 sec | 6.0 MB | 20.8 s
[975/1963] TIC 144440290 (label=0) ... ok | 3/4 sec | 5.8 MB | 7.8 s
[976/1963] TIC 64553698 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.6 s
[977/1963] TIC 233087860 (label=1) ... ok | 3/41 sec | 5.7 MB | 8.7 s
[978/1963] TIC 275248683 (label=0) ... ok | 3/5 sec | 5.5 MB | 8.5 s
[979/1963] TIC 34551972 (label=0) ... ok | 3/5 sec | 5.5 MB | 8.2 s
[980/1963] TIC 392681545 (label=1) ... ok | 2/2 sec | 3.9 MB | 7.2 s
[981/1963] TIC 407591297 (label=1) ... ok | 2/2 sec | 4.0 MB | 5.8 s
[982/1963] TIC 367913453 (label=0) ... ok | 1/1 sec | 1.8 MB | 3.6 s
[983/1963] TIC 351601843 (label=1) ... ok | 3/5 sec | 5.9 MB | 6.6 s
[984/1963] TIC 219366908 (label=0) ... no_data | 0/0 sec | 0.0 MB | 7.2 s
[985/1963] TIC 124029677 (label=1) ... ok | 2/2 sec | 6.1 MB | 6.7 s
[986/1963] TIC 219854185 (label=1) ... ok | 3/32 sec | 5.8 MB | 7.2 s
[987/1963] TIC 353475866 (label=1) ... ok | 3/6 sec | 5.4 MB | 5.8 s
[988/1963] TIC 332630868 (label=0) ... ok | 1/1 sec | 2.1 MB | 3.3 s
[989/1963] TIC 382331352 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.3 s
[990/1963] TIC 449197831 (label=1) ... ok | 2/2 sec | 6.1 MB | 4.2 s
[991/1963] TIC 150428135 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/37 sec | 5.9 MB | 0.5 s
[992/1963] TIC 408729765 (label=0) ... ok | 2/2 sec | 3.6 MB | 4.1 s
[993/1963] TIC 467331291 (label=1) ... ok | 3/10 sec | 5.7 MB | 5.8 s
[994/1963] TIC 165523947 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.4 s
[995/1963] TIC 120896927 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/4 sec | 5.9 MB | 6.5 s
[996/1963] TIC 436099179 (label=0) ... ok | 2/2 sec | 3.8 MB | 6.6 s
[997/1963] TIC 101395259 (label=0) ... ok | 3/6 sec | 5.5 MB | 6.9 s
[998/1963] TIC 453230066 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.5 s
[999/1963] TIC 249862365 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.6 s
[1000/1963] TIC 289125016 (label=0) ... ok | 1/1 sec | 1.9 MB | 6.6 s
[1001/1963] TIC 83275782 (label=1) ... ok | 2/2 sec | 3.8 MB | 5.1 s
[1002/1963] TIC 403308915 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.3 s
[1003/1963] TIC 122485078 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.6 s
[1004/1963] TIC 352682207 (label=1) ... ok | 3/4 sec | 5.2 MB | 0.5 s
[1005/1963] TIC 86280613 (label=0) ... ok | 2/2 sec | 3.9 MB | 5.0 s
[1006/1963] TIC 75427473 (label=0) ... ok | 2/2 sec | 3.8 MB | 5.9 s
[1007/1963] TIC 174143743 (label=0) ... ok | 1/1 sec | 1.8 MB | 3.6 s
[1008/1963] TIC 286355915 (label=0) ... ok | 3/3 sec | 5.7 MB | 8.7 s
[1009/1963] TIC 453289469 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.8 s
[1010/1963] TIC 118798035 (label=1) ... no_data | 0/0 sec | 0.0 MB | 0.0 s
[1011/1963] TIC 146467675 (label=0) ... ok | 1/1 sec | 1.9 MB | 5.1 s
[1012/1963] TIC 153027658 (label=0) ... ok | 2/2 sec | 3.9 MB | 5.8 s
[1013/1963] TIC 466318137 (label=0) ... ok | 2/2 sec | 3.9 MB | 6.3 s
[1014/1963] TIC 100267480 (label=0) ... ok | 2/2 sec | 3.9 MB | 6.1 s
[1015/1963] TIC 399642071 (label=0) ... ok | 3/4 sec | 5.8 MB | 7.9 s
[1016/1963] TIC 326114850 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.5 s
[1017/1963] TIC 156816238 (label=0) ... ok | 1/1 sec | 2.0 MB | 5.2 s
[1018/1963] TIC 283015592 (label=0) ... ok | 3/5 sec | 6.2 MB | 8.9 s
[1019/1963] TIC 376524552 (label=1) ... ok | 2/2 sec | 4.0 MB | 6.6 s
[1020/1963] TIC 375506058 (label=1) ... ok | 3/9 sec | 5.7 MB | 8.2 s
[1021/1963] TIC 58824746 (label=1) ... ok | 3/3 sec | 5.5 MB | 9.8 s
[1022/1963] TIC 343442463 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.7 s
[1023/1963] TIC 415969574 (label=0) ... ok | 1/1 sec | 1.9 MB | 5.1 s
[1024/1963] TIC 269701147 (label=1) ... ok | 3/28 sec | 5.5 MB | 1.5 s
[1025/1963] TIC 20182780 (label=1) ... Warning: 20% (3713/18126) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
Warning: 34% (5720/16999) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
Warning: 26% (3392/12904) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/4 sec | 5.8 MB | 13.5 s
[1026/1963] TIC 8348911 (label=1) ... Warning: 33% (5554/16999) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/6 sec | 5.6 MB | 7.9 s
[1027/1963] TIC 37084932 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.6 s
[1028/1963] TIC 143257766 (label=0) ... ok | 1/1 sec | 1.8 MB | 3.7 s
[1029/1963] TIC 208030798 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.0 s
[1030/1963] TIC 284564230 (label=0) ... ok | 3/17 sec | 6.0 MB | 8.0 s
[1031/1963] TIC 25624952 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.0 s
[1032/1963] TIC 285233023 (label=0) ... ok | 1/1 sec | 1.3 MB | 3.6 s
[1033/1963] TIC 266843799 (label=0) ... no_data | 0/0 sec | 0.0 MB | 26.3 s
[1034/1963] TIC 420645189 (label=0) ... ok | 3/8 sec | 5.5 MB | 1.5 s
[1035/1963] TIC 425561347 (label=1) ... ok | 3/4 sec | 5.8 MB | 8.8 s
[1036/1963] TIC 319968129 (label=0) ... ok | 2/2 sec | 3.8 MB | 5.7 s
[1037/1963] TIC 278199349 (label=0) ... ok | 3/5 sec | 5.5 MB | 7.9 s
[1038/1963] TIC 98286422 (label=0) ... ok | 2/2 sec | 4.0 MB | 25.9 s
[1039/1963] TIC 452803785 (label=0) ... no_data | 0/0 sec | 0.0 MB | 5.0 s
[1040/1963] TIC 279740441 (label=0) ... Warning: 30% (5875/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/7 sec | 6.0 MB | 9.2 s
[1041/1963] TIC 260647166 (label=1) ... ok | 3/6 sec | 5.8 MB | 1.6 s
[1042/1963] TIC 260849386 (label=0) ... ok | 3/3 sec | 6.2 MB | 8.0 s
[1043/1963] TIC 307210830 (label=1) ... ok | 3/27 sec | 5.7 MB | 1.5 s
[1044/1963] TIC 317397615 (label=0) ... ok | 1/1 sec | 1.8 MB | 4.0 s
[1045/1963] TIC 267263253 (label=1) ... ok | 3/7 sec | 5.7 MB | 9.8 s
[1046/1963] TIC 166648874 (label=1) ... ok | 2/2 sec | 4.0 MB | 5.5 s
[1047/1963] TIC 98613492 (label=0) ... ok | 2/2 sec | 3.9 MB | 6.3 s
[1048/1963] TIC 23389848 (label=0) ... ok | 2/2 sec | 3.9 MB | 5.1 s
[1049/1963] TIC 9006668 (label=1) ... ok | 3/4 sec | 5.8 MB | 11.6 s
[1050/1963] TIC 452483795 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.7 s
[1051/1963] TIC 142276270 (label=1) ... ok | 3/7 sec | 5.9 MB | 0.6 s
[1052/1963] TIC 428699140 (label=1) ... ok | 2/2 sec | 3.8 MB | 4.0 s
[1053/1963] TIC 17129975 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.4 s
[1054/1963] TIC 159510109 (label=0) ... ok | 3/22 sec | 5.7 MB | 6.7 s
[1055/1963] TIC 80478272 (label=0) ... ok | 1/1 sec | 2.1 MB | 2.9 s
[1056/1963] TIC 179317684 (label=1) ... ok | 3/34 sec | 5.8 MB | 6.0 s
[1057/1963] TIC 157236902 (label=1) ... ok | 2/2 sec | 3.8 MB | 4.2 s
[1058/1963] TIC 4294779 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.2 s
[1059/1963] TIC 206498307 (label=0) ... ok | 2/2 sec | 3.7 MB | 4.0 s
[1060/1963] TIC 264460005 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.5 s
[1061/1963] TIC 90919952 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.2 s
[1062/1963] TIC 15565627 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.8 s
[1063/1963] TIC 349576261 (label=1) ... ok | 3/32 sec | 5.5 MB | 6.6 s
[1064/1963] TIC 29781292 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/44 sec | 6.0 MB | 0.6 s
[1065/1963] TIC 95010343 (label=0) ... ok | 2/2 sec | 3.8 MB | 4.0 s
[1066/1963] TIC 63303499 (label=0) ... ok | 2/2 sec | 3.8 MB | 4.2 s
[1067/1963] TIC 54962195 (label=1) ... ok | 3/5 sec | 5.6 MB | 0.5 s
[1068/1963] TIC 297153209 (label=0) ... ok | 3/4 sec | 5.9 MB | 6.1 s
[1069/1963] TIC 347098457 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.6 s
[1070/1963] TIC 201175570 (label=1) ... ok | 3/4 sec | 5.8 MB | 6.8 s
[1071/1963] TIC 403288821 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.1 s
[1072/1963] TIC 369864738 (label=0) ... ok | 3/3 sec | 5.8 MB | 5.7 s
[1073/1963] TIC 388130235 (label=0) ... no_data | 0/0 sec | 0.0 MB | 15.0 s
[1074/1963] TIC 142276270 (label=1) ... ok | 3/7 sec | 5.9 MB | 0.5 s
[1075/1963] TIC 61117473 (label=0) ... ok | 2/2 sec | 4.0 MB | 4.5 s
[1076/1963] TIC 160268701 (label=0) ... ok | 3/4 sec | 6.0 MB | 5.8 s
[1077/1963] TIC 604863428 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.6 s
[1078/1963] TIC 142918609 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.5 s
[1079/1963] TIC 354600221 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.9 s
[1080/1963] TIC 154220877 (label=1) ... Warning: 25% (4798/19050) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 2/2 sec | 4.0 MB | 4.7 s
[1081/1963] TIC 288735205 (label=1) ... ok | 3/32 sec | 5.6 MB | 6.0 s
[1082/1963] TIC 269269740 (label=0) ... ok | 3/6 sec | 5.9 MB | 5.9 s
